sentence,language,langdetect,lingua
"Once upon a time, there was a young man called Ma Liang.",en,en,en
He was poor and kind and liked drawing so much that he drew pictures everywhere.,en,en,en
"One night, he dreamed that an old man gave him a magic paintbrush and asked him to use it to help poor people.",en,en,en
"When he woke up, he found the magic paintbrush on his desk.",en,en,en
"From that day on, he used the paintbrush whenever poor people needed help.",en,en,en
"When he saw that people had no water to use in the fields, he drew a river and the river came to life.",en,en,en
People could bring water from the river to the field to help their crops grow.,en,en,en
"When he saw the hard working farmers struggling to feed their families, he drew more food for them to eat.",en,en,en
"Soon, many people knew about the magic paintbrush and were very grateful to Ma Liang.  ",en,en,en
"But in the village, there lived a rich man who was mean and decided to steal the paintbrush from the young man so that he could use it to become even richer.",en,en,en
So he sent his servants to Ma Liang's home to steal the magic paintbrush.,en,en,en
"Once he had the paintbrush, he felt very happy and he invited his friends to come to his home so that he could show them his new possession.",en,en,en
"He drew a lot of pictures, but none of them would come to life for him.",en,en,en
He was very angry that the paintbrush would not work for him so he sent for Ma Liang.,en,en,en
"He said to the young man, ""If you draw some pictures for me and bring them to life, I will set you free.""",en,en,en
"Ma Liang did not want to help such a bad man, but he had an idea.  ",en,en,en
"He said to the bad man, ""What would you like me to draw?""",en,en,en
"The rich man said, ""I want a golden mountain.",en,en,en
"I will go there to gather gold.""",en,en,en
But the young man drew a sea first.,en,en,en
"The rich man was angry and said,"" Why did you draw a sea?",en,en,en
I want a golden mountain.,en,en,en
"Draw it quickly!""",en,en,en
So the young man drew a golden mountain which was far away from the sea.,en,en,en
"The rich man said, ""Draw a big ship quickly.",en,en,en
"I want to go there to gather gold.""",en,en,en
The young man smiled quietly and drew a big ship.,en,en,en
"The rich man jumped into the ship and set off to find the gold but when the ship sailed to the middle of the sea, Ma Liang drew a large wave which destroyed the ship and the rich man was never seen in the village again.",en,en,en
"After that, the young man lived with his family happily and used the magic paintbrush to help the poor people as the old man had asked him to do and the magic paintbrush was known and loved by everyone.",en,en,en
"Un racconto popolare cinese            * C'era una volta, un giovane di nome Ma Liang.",it,it,it
"Era un ragazzo povero e gentile, a cui piaceva così tanto disegnare, che faceva dei disegni ovunque andava.",it,it,it
"Una notte, sognò che un vecchio gli aveva dato un pennello magico chiedendogli di usarlo per aiutare i poveri.",it,it,it
"Quando si svegliò, trovò il pennello magico sulla sua scrivania.",it,it,it
"Da quel giorno, usò il pennello ogni volta che la gente povera aveva bisogno di aiuto.",it,it,it
"Quando vedeva che le persone non avevano acqua da utilizzare nei campi, disegnava un fiume e il fiume diventava realtà.",it,it,it
"La gente poteva così portare l'acqua dal fiume al campo, per aiutare il raccolto a crescere.",it,it,it
"Quando vedeva i contadini che lavoravano duro e che avevano difficoltà a sfamare le loro famiglie, disegnava tanto cibo, cosicché lo potessero mangiare.  ",it,it,it
Ben presto molte persone erano venute a conoscenza di questo pennello magico ed erano molto grate a Ma Liang.  ,it,it,it
"Ma in paese, viveva un uomo ricco che era molto perfido e decise di rubare il pennello dal giovane, in modo che potesse usarlo per diventare ancora più ricco.",it,it,it
Così mandò i suoi servi a casa di Ma Liang per rubargli il pennello magico.,it,it,it
"Una volta che ottenne il pennello, si sentì molto felice e invitò i suoi amici a venire a casa sua, in modo che potesse mostrare loro il suo nuovo tesoro.",it,it,it
"Disegnò un sacco di immagini, ma nessuna di queste prese vita.",it,it,it
"Era così arrabbiato del fatto che il pennello non funzionasse con lui, che mandò a chiamare Ma Liang.  ",it,it,it
Disse al giovane:,it,it,it
"""Se disegni alcune immagini per me e le fai diventare realtà, ti libererò.",it,it,it
"""  Ma Liang non voleva aiutare un uomo così malvagio, ma gli venne un'idea.  ",it,it,it
"""Cosa vuoi che disegni?",it,it,it
” disse all’uomo cattivo.,it,it,it
E l'uomo ricco gli rispose:,it,it,it
"""Voglio una montagna d'oro ed io andrò lì per prendere l'oro.",it,it,it
"""   Ma il giovane, invece, disegnò il mare.  ",it,it,it
Il ricco si arrabbiò e disse:,it,it,it
""" Perché hai disegnato il mare?",it,it,it
Io volevo una montagna d'oro.,it,it,it
Disegnala subito!,it,it,it
""" Così il giovane disegnò una montagna d'oro, che era lontanissima dal mare.",it,it,it
L'uomo ricco disse:,it,it,it
"""Disegna subito una grande nave.",it,it,it
Voglio andare lì per prendere l'oro.,it,it,it
:  中国的民间传说              很久以前，有个年轻人名叫马良，他家境贫寒却心地善良。,zh-cn,zh-cn,zh-cn
他十分喜爱画画，在每件东西上都会画上几幅。,zh-cn,zh-cn,zh-cn
一天晚上，他做了一个梦，梦里一个老人给了他一支神奇的画笔，并让他用这支画笔去帮助那些贫苦的人。,zh-cn,zh-cn,zh-cn
他醒来时发现这支神笔就躺在自己的桌子上。,zh-cn,zh-cn,zh-cn
从那天起，每当有人需要帮助时，马良就会用这支神笔去帮助他们。,zh-cn,zh-cn,zh-cn
当看见人们没有水来种田时，他就画出一条河，河水哗哗地流动起来，人们就能从河里取水来浇灌庄稼了；当看到辛苦的农民们没有足够的粮食吃时，他就画出一些食物来给他们填肚子。,zh-cn,zh-cn,zh-cn
没过多久，很多人都知道了神笔的故事，并且非常感激马良。  但是在村庄里住着一个有钱的大财主，非常吝啬卑鄙。,zh-cn,zh-cn,zh-cn
他决定从马良手中偷走画笔，让自己变得更富有。,zh-cn,zh-cn,zh-cn
于是他命令家里的仆人去马良家里偷这支神笔。,zh-cn,zh-cn,zh-cn
神笔到手后，财主觉得非常开心，邀请朋友们来家里做客，这样他便可以炫耀一下自己的新宝贝。,zh-cn,zh-cn,zh-cn
他画了很多幅画，但是没有一幅变成真的。,zh-cn,zh-cn,zh-cn
画笔似乎并不听从于他，为此他十分生气，于是他又将画笔还给了马良。  他对马良说：“如果你替我画几幅画并且把他们都变成真的，我就放了你。”,zh-cn,zh-cn,zh-cn
马良并不想帮助这个可恶的财主，这时他忽然想到了一个主意。,zh-cn,zh-cn,zh-cn
他对财主说，“你想让我画什么？”,zh-cn,zh-cn,zh-cn
大财主回答，“我想要一座金山，我要去那儿装金子。”,zh-cn,zh-cn,zh-cn
但马良画了一片海。,zh-cn,zh-cn,zh-cn
财主生气地说道：“你画海干什么？,zh-cn,zh-cn,zh-cn
我要的是一座金山，你赶紧给我画出来！”,zh-cn,zh-cn,zh-cn
于是马良就在离海很远的地方画了一座金山。,zh-cn,zh-cn,zh-cn
财主说：“快给我画一艘大船！,zh-cn,zh-cn,zh-cn
我要现在去那里装金子！”,zh-cn,zh-cn,zh-cn
马良默不作声地笑了笑，画出了一艘大船。,zh-cn,zh-cn,zh-cn
财主跳进船里便立刻前往出发去寻找金子，但当船行驶到海中央时，马良又画了一阵大浪，波浪将船掀翻，于是之后人们再也没有在村子里见过这个大财主。,zh-cn,zh-cn,zh-cn
从那以后，马良与家人幸福地生活在一起，并如梦里老人吩咐的那样，继续用神笔去帮助那些穷苦老百姓。,zh-cn,zh-cn,zh-cn
大家都听说了神笔的故事，并十分喜爱这支神奇的画笔。,zh-cn,zh-cn,zh-cn
Era un chico pobre y amable al que le gustaba tanto dibujar que hacía dibujos por todas partes.,es,es,es
"Una noche, soñó que un anciano le daba un pincel mágico y le pedía que lo usara para ayudar a los pobres.",es,es,es
"Cuando se despertó, vio que el pincel mágico estaba sobre su escritorio.",es,es,es
"A partir de ese día, utilizó el pincel siempre que los pobres necesitaban ayuda.",es,es,es
"Cuando vio que la gente no tenía agua para regar los campos, dibujó un río y el río cobró vida.",es,es,es
Ahora la gente podía llevar agua del río al campo para que crecieran sus cosechas.,es,es,es
"Cuando vio que los campesinos tenían dificultades para alimentar a sus familias, dibujó más comida para ellos.",es,es,es
"En muy poco tiempo, mucha gente se enteró de la existencia del pincel mágico y se mostraton muy agradecidos con Ma Liang.  ",es,es,es
Pero en la aldea vivía un hombre rico muy mezquino que decidió robarle el pincel al joven para poder usarlo para hacer crecer aún más sus riquezas.,es,es,es
Así que envió a sus sirvientes a casa de Ma Liang para que robaran el pincel mágico.,es,es,es
"Una vez consiguió el pincel, se sintió tan feliz que invitó a sus amigos a su casa para enseñarles su nueva adquisición.",es,es,es
"Comenzó a hacer muchos dibujos, pero ninguno de ellos cobró vida.",es,es,es
Tal fue su enfado al ver que el pincel no funcionaba que mandó llamar a Ma Liang.,es,es,es
"—Si me haces unos dibujos y haces que cobren vida, te pondré en libertad —le dijo al joven.",es,es,es
"Ma Liang no quería ayudar a un hombre tan mezquino, pero se le ocurrió una idea.  ",es,es,es
—¿Qué quiere que dibuje?,es,fr,es
—le preguntó al malvado señor.,es,es,es
— Quiero una montaña de oro —contestó el hombre rico—.,es,es,es
Una montaña donde pueda ir a recoger oro.   ,es,es,es
Pero el chico dibujó primero un mar.,es,es,es
—¿Por qué has dibujado un mar?,es,es,es
—el ricachón se enfadó y dijo—.,es,es,es
Te he ordenado que dibujes una montaña de oro.,es,es,es
¡Dibújala ahora mismo!,es,so,es
Entonces el joven dibujó una montaña de oro que se veía a lo lejos en el mar.      ,es,es,es
"—Dibuja un barco grande, rápido —volvió a ordenar el ricachón—.",es,es,es
Un barco con el que pueda navegar hasta la montaña para recoger oro.,es,es,es
El joven sonrió disimuladamente y dibujó un barco grande.,es,es,es
